sample_index,sparse_factor,method,psnr,ssim,checkpoint
193,2,sparse_fbp,24.697784423828125,0.7795090675354004,
194,2,sparse_fbp,25.355680465698242,0.79390549659729,
195,2,sparse_fbp,24.48360824584961,0.8105075359344482,
196,2,sparse_fbp,23.807518005371094,0.7795063257217407,
197,2,sparse_fbp,23.85394859313965,0.7595272064208984,
198,2,sparse_fbp,26.030323028564453,0.8057499527931213,
199,2,sparse_fbp,24.079618453979492,0.7813961505889893,
0,2,redcnn,23.76899528503418,0.7792719602584839,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
1,2,redcnn,23.64589500427246,0.7740923762321472,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
2,2,redcnn,25.88953399658203,0.839834451675415,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
3,2,redcnn,24.18959617614746,0.8210815191268921,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
4,2,redcnn,26.162944793701172,0.8430737257003784,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
5,2,redcnn,26.142187118530273,0.8013249635696411,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
6,2,redcnn,26.007781982421875,0.8019652366638184,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
7,2,redcnn,24.790199279785156,0.8160515427589417,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
8,2,redcnn,26.012723922729492,0.8039885759353638,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
9,2,redcnn,24.461162567138672,0.8166368007659912,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
10,2,redcnn,24.819393157958984,0.8238704204559326,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
11,2,redcnn,24.114171981811523,0.7853847742080688,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
12,2,redcnn,25.411544799804688,0.7611159682273865,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
13,2,redcnn,23.773860931396484,0.7879271507263184,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
14,2,redcnn,24.2912654876709,0.7860243320465088,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
15,2,redcnn,24.018138885498047,0.7540276050567627,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
16,2,redcnn,24.77247428894043,0.8234949111938477,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
17,2,redcnn,25.823286056518555,0.8335641026496887,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
18,2,redcnn,24.19935417175293,0.7864699363708496,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
19,2,redcnn,24.046905517578125,0.7596179246902466,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
20,2,redcnn,24.318849563598633,0.7826394438743591,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
21,2,redcnn,27.48351287841797,0.8104521036148071,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
22,2,redcnn,26.01169204711914,0.7996411919593811,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
23,2,redcnn,24.242286682128906,0.7871509790420532,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
24,2,redcnn,23.77492904663086,0.7790635228157043,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
25,2,redcnn,24.494117736816406,0.7885826230049133,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
26,2,redcnn,23.661678314208984,0.7885795831680298,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
27,2,redcnn,24.433639526367188,0.7811971306800842,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
28,2,redcnn,25.729429244995117,0.7987589836120605,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
29,2,redcnn,24.14535140991211,0.8095079660415649,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
30,2,redcnn,26.74591827392578,0.8499392867088318,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
31,2,redcnn,23.99859619140625,0.7908453941345215,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
32,2,redcnn,25.97710418701172,0.8055460453033447,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
33,2,redcnn,24.56446647644043,0.78841233253479,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
34,2,redcnn,24.9638729095459,0.8041290044784546,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
35,2,redcnn,24.048969268798828,0.7581743597984314,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
36,2,redcnn,27.12453842163086,0.8247066736221313,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
37,2,redcnn,25.65041732788086,0.7938601970672607,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
38,2,redcnn,23.788898468017578,0.7872644662857056,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
39,2,redcnn,24.86811637878418,0.8009568452835083,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
40,2,redcnn,26.041362762451172,0.8034038543701172,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
41,2,redcnn,24.914966583251953,0.8069718480110168,/root/autodl-fs/PAPER2/redcnn_autodl/save/REDCNN_100000iter.ckpt
