"task","sparse_factor","slice_index","psnr","ssim"
"module_no_ct_S2","2","38","33.154544830322266","0.8985446095466614"
"module_no_ct_S2","2","39","33.07855224609375","0.8910485506057739"
"module_no_ct_S2","2","40","33.09360885620117","0.8643484115600586"
"module_no_ct_S2","2","41","33.18656539916992","0.8958210945129395"
"module_no_ct_S2","2","42","33.78688430786133","0.9040944576263428"
"module_no_ct_S2","2","43","33.92856979370117","0.9241647124290466"
"module_no_ct_S2","2","44","34.64369201660156","0.9112024903297424"
"module_no_ct_S2","2","45","33.57277297973633","0.9051991701126099"
"module_no_ct_S2","2","46","32.370086669921875","0.8826774954795837"
"module_no_ct_S2","2","47","33.68278121948242","0.9016678333282471"
"module_no_ct_S2","2","48","25.64735221862793","0.6402683854103088"
"module_no_ct_S2","2","49","32.444122314453125","0.8867384195327759"
"module_no_ct_S2","2","50","33.89284133911133","0.9211620688438416"
"module_no_ct_S2","2","51","34.515743255615234","0.9034082889556885"
"module_no_ct_S2","2","52","33.30908966064453","0.910926103591919"
"module_no_ct_S2","2","53","32.84309005737305","0.8583498597145081"
"module_no_ct_S2","2","54","33.69196319580078","0.9175290465354919"
"module_no_ct_S2","2","55","33.65568542480469","0.8933985233306885"
"module_no_ct_S2","2","56","32.49430847167969","0.8841677904129028"
"module_no_ct_S2","2","57","33.3765754699707","0.9007604718208313"
"module_no_ct_S2","2","58","33.89161682128906","0.9156172275543213"
"module_no_ct_S2","2","59","26.356725692749023","0.7308991551399231"
"module_no_ct_S2","2","60","33.598350524902344","0.8907099962234497"
"module_no_ct_S2","2","61","33.451717376708984","0.910596489906311"
"module_no_ct_S2","2","62","34.9893913269043","0.9170403480529785"
"module_no_ct_S2","2","63","32.33296585083008","0.8939766883850098"
"module_no_ct_S2","2","64","33.29924774169922","0.8968318104743958"
"module_no_ct_S2","2","65","34.66191101074219","0.9236107468605042"
"module_no_ct_S2","2","66","33.985069274902344","0.8887497782707214"
"module_no_ct_S2","2","67","33.47957229614258","0.8819488286972046"
"module_no_ct_S2","2","68","34.414146423339844","0.9250063896179199"
"module_no_ct_S2","2","69","33.7227783203125","0.9207838773727417"
"module_no_ct_S2","2","70","28.350399017333984","0.8407192230224609"
"module_no_ct_S2","2","71","33.28112030029297","0.8995027542114258"
"module_no_ct_S2","2","72","32.74298095703125","0.8832212090492249"
"module_no_ct_S2","2","73","34.24127197265625","0.8867720365524292"
"module_no_ct_S2","2","74","33.179012298583984","0.8920985460281372"
"module_no_ct_S2","2","75","32.63142013549805","0.8824435472488403"
"module_no_ct_S2","2","76","33.978946685791016","0.8884254097938538"
"module_no_ct_S2","2","77","33.34830856323242","0.9038746356964111"
"module_no_ct_S2","2","78","33.24215316772461","0.9043824076652527"
"module_no_ct_S2","2","79","32.12515640258789","0.8644915819168091"
"module_no_ct_S2","2","80","33.96874237060547","0.9222044944763184"
"module_no_ct_S2","2","81","26.693477630615234","0.7362532019615173"
"module_no_ct_S2","2","82","34.34565734863281","0.9217544198036194"
"module_no_ct_S2","2","83","32.33466339111328","0.8767225742340088"
"module_no_ct_S2","2","84","33.95639419555664","0.9149782657623291"
"module_no_ct_S2","2","85","33.59787368774414","0.9075801968574524"
"module_no_ct_S2","2","86","34.264404296875","0.9183651804924011"
"module_no_ct_S2","2","87","34.184959411621094","0.8958753347396851"
"module_no_ct_S2","2","88","34.64264678955078","0.9202627539634705"
"module_no_ct_S2","2","89","34.12726593017578","0.9220841526985168"
"module_no_ct_S2","2","90","32.37746810913086","0.8652275204658508"
