scheduler,sparse_factor,seed,epoch,train_loss,val_psnr,val_ssim,lr_used,lr_next,best_val_psnr,is_best,epoch_seconds
plateau,12,2026,20,0.001182295618559607,28.467954750061036,0.8034312570095062,0.0001,0.0001,28.467954750061036,1,216.02916598320007
plateau,12,2026,21,0.0011301549027930276,28.589916496276857,0.8079548817873001,0.0001,0.0001,28.589916496276857,1,216.10934233665466
plateau,12,2026,22,0.001086900543185188,28.69831217765808,0.8092501151561737,0.0001,0.0001,28.69831217765808,1,215.96518802642822
plateau,12,2026,23,0.0010610289171020665,28.992980661392213,0.8144838434457778,0.0001,0.0001,28.992980661392213,1,216.20281338691711
plateau,12,2026,24,0.0010265012550532246,29.089767684936522,0.8166828548908234,0.0001,0.0001,29.089767684936522,1,216.01860117912292
plateau,12,2026,25,0.0009941813529012133,29.172377128601074,0.8182788604497909,0.0001,0.0001,29.172377128601074,1,216.05955910682678
plateau,12,2026,26,0.0009530230906219936,29.250529413223266,0.821916646361351,0.0001,0.0001,29.250529413223266,1,216.04482102394104
plateau,12,2026,27,0.0009188341792831581,29.382319688796997,0.8237771552801132,0.0001,0.0001,29.382319688796997,1,215.76037859916687
plateau,12,2026,28,0.0008940823797584765,29.475979299545287,0.8228021478652954,0.0001,0.0001,29.475979299545287,1,215.59190583229065
plateau,12,2026,29,0.0008753522971561283,29.560168418884277,0.8241833919286727,0.0001,0.0001,29.560168418884277,1,215.2719178199768
plateau,12,2026,30,0.0008630372289775728,29.625921621322632,0.8262711435556411,0.0001,0.0001,29.625921621322632,1,215.10447716712952
plateau,12,2026,31,0.0008322808895676923,29.73320182800293,0.8310924500226975,0.0001,0.0001,29.73320182800293,1,214.50064396858215
plateau,12,2026,32,0.0007977830744235104,29.844549980163574,0.8335346406698227,0.0001,0.0001,29.844549980163574,1,215.76682710647583
plateau,12,2026,33,0.0007793804223401549,29.943249835968018,0.835574426651001,0.0001,0.0001,29.943249835968018,1,215.0627646446228
plateau,12,2026,34,0.0007729535690885498,29.678966512680052,0.834312093257904,0.0001,0.0001,29.943249835968018,0,215.21291399002075
plateau,12,2026,35,0.0007597257159493361,30.102859382629394,0.838592112660408,0.0001,0.0001,30.102859382629394,1,215.11895060539246
plateau,12,2026,36,0.0007350978981973847,30.144651813507082,0.8401312601566314,0.0001,0.0001,30.144651813507082,1,214.6588716506958
plateau,12,2026,37,0.0007131060308293694,30.157856912612914,0.8407191377878189,0.0001,0.0001,30.157856912612914,1,214.54492664337158
plateau,12,2026,38,0.0007055967476974112,30.307604837417603,0.8416468906402588,0.0001,0.0001,30.307604837417603,1,215.0642204284668
plateau,12,2026,39,0.0006960885588791263,30.324081153869628,0.8427040582895279,0.0001,0.0001,30.324081153869628,1,214.84503817558289
plateau,12,2026,40,0.0006795337282850194,30.413630924224854,0.8443744206428527,0.0001,0.0001,30.413630924224854,1,214.72034096717834
plateau,12,2026,41,0.0006640252926690358,30.51560351371765,0.8457807159423828,0.0001,0.0001,30.51560351371765,1,214.82178115844727
plateau,12,2026,42,0.0006488412504183819,30.60774485588074,0.8471998244524002,0.0001,0.0001,30.60774485588074,1,214.20960021018982
plateau,12,2026,43,0.0006349206097534777,30.638783903121947,0.8484314781427383,0.0001,0.0001,30.638783903121947,1,214.97206830978394
plateau,12,2026,44,0.000624814286369356,30.70419267654419,0.8485275447368622,0.0001,0.0001,30.70419267654419,1,214.81338500976562
plateau,12,2026,45,0.0006229296344731785,30.74485049247742,0.8501515805721283,0.0001,0.0001,30.74485049247742,1,215.1936047077179
plateau,12,2026,46,0.000614019405434243,30.769142980575563,0.8524413198232651,0.0001,0.0001,30.769142980575563,1,215.15874981880188
